Rpsi(lP),Evac
1.000000000000000000e+00,7.921139999999999848e-01
1.022355459193420524e+00,7.166534369048525033e-01
1.045210684942589507e+00,6.483404131017761474e-01
1.068576849758350766e+00,5.865845811889112138e-01
1.092465375918157289e+00,5.308456311297998775e-01
1.116887941049720334e+00,4.806289801294266195e-01
1.141856483839480907e+00,4.354818296183735060e-01
1.167383209868696925e+00,3.949895582824744511e-01
1.193480597580000913e+00,3.587724227053248338e-01
1.220161404377339665e+00,3.264825395981739153e-01
1.247438672862283715e+00,2.978011257949383928e-01
1.275325737209751287e+00,2.724359742066547185e-01
1.303836229686262671e+00,2.501191457753828007e-01
1.332984087313917154e+00,2.306048591568791439e-01
1.362783558683342111e+00,2.136675614075371488e-01
1.393249210918952041e+00,1.991001643662115017e-01
1.424395936799915940e+00,1.867124327167685727e-01
1.456238962040320217e+00,1.763295109026332685e-01
1.488793852732081646e+00,1.677905771495741827e-01
1.522076522954248778e+00,1.609476138459683126e-01
1.556103242552415944e+00,1.556642844386174063e-01
1.590890645092045697e+00,1.518149078339767200e-01
1.626455735989595253e+00,1.492835220559301512e-01
1.662815900825415305e+00,1.479630296079813001e-01
1.699988913842488625e+00,1.477544176253928476e-01
1.737992946635161573e+00,1.485660464864075880e-01
1.776846577032116459e+00,1.503130010858010346e-01
1.816568798177926825e+00,1.529164994628465502e-01
1.857179027817634331e+00,1.563033539231554747e-01
1.898697117788887834e+00,1.604054802033030025e-01
1.941143363726282267e+00,1.651594506018834729e-01
1.984538514982643997e+00,1.705060873435958468e-01
2.028903784772109642e+00,1.763900927568449184e-01
2.074260860539959062e+00,1.827597131326134106e-01
2.120631914564269138e+00,1.895664333952862823e-01
2.168039614794575964e+00,1.967646999567372601e-01
2.216507135932835215e+00,2.043116693452393384e-01
2.266058170762106805e+00,2.121669804023380568e-01
2.316716941728496071e+00,2.202925480253380974e-01
2.368508212782013178e+00,2.286523766019314119e-01
2.421457301482142999e+00,2.372123914380877274e-01
2.475590091374037183e+00,2.459402866218260708e-01
2.530933044641385354e+00,2.548053878950269913e-01
2.587513215042145376e+00,2.637785292240286683e-01
2.645358261133456068e+00,2.728319418683174402e-01
2.704496459792202767e+00,2.819391548460264407e-01
2.764956720037837545e+00,2.910749057859717270e-01
2.826768597164217134e+00,3.002150612393038598e-01
2.889962307187364132e+00,3.093365456001832547e-01
2.954568741616214744e+00,3.184172778548008953e-01
3.020619482553571267e+00,3.274361154421069897e-01
3.088146818134648530e+00,3.363728045682907730e-01
3.157183758310749155e+00,3.452079363708084325e-01
3.227764050985795219e+00,3.539229083770381590e-01
3.299922198513597582e+00,3.624998907478043653e-01
